label,message
n,"❗️ В Минфине США заявили, что разрешают транзакции с Россией, если они связаны с удобрениями, продовольствием, посевными материалами, лекарствами и медоборудованием.   Также выведена из-под санкций бывшая дочерняя компания «Газпрома» в Германии и «дочку» Альфа-банка в Казахстане."
n,"Вместо этого нужно ухаживать за землёй вдоль дорог. Тогда сорняк не будет распространяться так стремительно, считает председатель общественной организации «Садоводы России»:  Как отметил главный садовод, в России хотят «единоразово» победить борщевик, но этого сделать не получится. Нужна планомерная регулярная работа."
n,"— данные пяти крупнейших туроператоров.   Несмотря на подорожание отдыха, наблюдается нехватка рейсов. Если в июле-августе 2021 года средний чек тура в Турцию на семью (2 взрослых и 1 ребенок) составлял €1731-1920 (примерно 101 713 - 112 819 рублей), то летом 2022 года стоимость тура выросла до €3367-3800 (около 197 844 - 223 288 рублей).  Эксперты объяснили повышение стоимости туров нехваткой рейсов, а также общим подорожанием авиаперевозок."
n,Обряд прошёл на Солёных озёрах в Соль-Илецке. Как сообщают сами священнослужители:  АОЕ Бафф?
n,Умерла первая жена Дональда Трампа - Ивана Трамп. Они были в браке с 1977 по 1992 год.  Ей было 73 года.
n,"14 июля 1789 года восставшая толпа в Париже штурмом взяла Бастилию – крепость, в которой заточались политические оппоненты.  С этого дня началась Великая французская революция, уничтожившая в стране  абсолютную монархию.  На Елисейских Полях состоялся традиционный военный парад. Президент страны Эммануэль Макрон проехал в открытом автомобиле в сопровождении генералов от Триумфальной арки к трибуне на площади Согласия."
n,В сеть попали кадры обстрела по Виннице
n,"Рыбаки выловили 5-метрового сельдяного короля, которого считают предвестником катастроф. Рыба живёт на большой глубине и поднимается на поверхность из-за движения тектонических плит, штормов, течений или болезни.   Местные власти заявили, что проведут расследование, чтобы узнать, почему рыба поднялась с глубины в тысячу метров."
n,В Казахстане местные жители избили мужчину за его пророссийские взгляды
n,Палата представителей Конгресса США одобрила проект оборонного бюджета 
n,Эйфелева башня в Париже сейчас
n,❗️Беларусь допустила дефолт по внешним долговым обязательствам — Moody's
n,"Российский аналог самого дорогого в мире препарата Золгенсма, применяемого для лечения спинальной мышечной атрофии, , сообщил главный специалист по медицинской генетике Министерства здравоохранения РФ Сергей Куцев."
n,В Пенсильвании за хранение и распространение  арестован 26-летний  и   aka В его облачном хранилище на  нашли  видосов и фоточек с Он был лицензированным социальным работником и «помогал» в том числе  Теперь ЛГБТ-педофилу грозит до 30 лет тюрьмы.  Внезапно
n,"Кадры взрывов в Николаеве. Украинские СМИ сообщают, что пострадали два университета."
n,❗️Росавиация в 24 раз продлила ограничения полетов в 11 аэропортов на юге и в центре России до 24 июля.
n,"  Беременной женщине в одной из бразильских больниц проводили кесарево сечение, и в это время ее орально изнасиловал анестезиолог.  По подозрению в преступлении был арестован Джованни Квинтелла Безерра. Его действия тайно сняли на видео коллеги, которые хотели проверить работу врача - медика подозревали в излишних дозах седативных веществ, которые он вводил пациентам."
n,"❗️Генпрокуратура России признала нежелательной деятельность на территории РФ четырех иностранных неправительственных организаций, среди которых  и "
n,"  В России в июне 2022 года розничная продажа водки составила 6,05 миллионов декалитров, что на 10,6% больше, чем годом ранее. Продажи коньяка также увеличились — в июне на 8,9%, до 0,92 млн декалитров.  Быстрее всего растут продажи алкоголя до 9 градусов: за полугодие они выросли в 1,8 раза."
n,⚡️Правительство России с 15 июля отменяет коронавирусные ограничения на пересечение границы РФ
n,"❗️ купили российские активы Starbucks, новым владельцам перешли все 130 заведений сети"
n,"Её обвиняли в распространении порнографии из-за рисунков в паблике «Монологи вагины» в ВК. Прокуратура запрашивала для художницы три года колонии. Сама Цветкова вину не признавала и говорила, что ведёт паблик, чтобы снять табу с женской физиологии."
n,В московском Тушино посетитель торгового центра «Калейдоскоп» спрыгнул с 4 этажа.  34-летнего Артура Сапеева не смогли спасти врачи скорой помощи. Мотив поступка пока неизвестен. На месте работают полицейские.
n,"В Москве блогерша , на что тратится бюджетные деньги и решила пойти в муниципальные депутаты. Никто не думал, что сделанное ради шутки обернется этим. Она многое ждала, но открыв бюджет района, она увидела там..."
n,"❗️Омбудсмен ДНР сообщила, что находившийся в плену в ДНР британский наемник Пол Ури скончался 10 июля из-за болезней По ее словам, несмотря на тяжесть вменяемого преступления, со стороны ДНР Ури была оказана соответствующая медицинская помощь. Во время первого медосмотра в ДНР у Пола Ури был выявлен ряд хронических заболеваний.   Среди них — инсулинозависимый диабет, поражение дыхательной системы, почек и ряд заболеваний сердечно-сосудистой системы."
n,❗️МВД России объявило в розыск журналиста Евгения Киселева
n,❗️Мы ожидаем ракеты для HIMARS — министр обороны Украины Резников
n,"В Фокино задержали 54-летнего мужчину, который в «ВКонтакте» регулярно публиковал комментарии с призывами к посягательству на жизнь Путина путём смертной казни через повешение. В отношении него возбуждено уголовное дело. При даче показаний мужчина принёс президенту извинения.  Ну как покомментили?"
n,"Польский производитель замороженных овощей, фруктов и смесей продал бизнес российскому поставщику рыбы ГК «Агама». Новый владелец сможет выпускать продукцию под известным брендом до конца года, но затем название придётся сменить."
n,"Медведеву нашли новое занятие, чтобы отвлечь от свинопостинга в Телеграме: его назначили ответственным за празднование 80-летия разгрома советскими войсками немецко-фашистских войск в Сталинградской битве."
n,❗️Министр промышленности РФ Мантуров прогнозирует .  Тем временем Путин утвердил Дениса Мантурова в должности вице-премьера.
n,UPD: Борисов сменил Рогозина во главе «Роскосмоса».
n,Это мы ждём
n,❗️Суд в Питере снова зарегистрировал административное 
n,"  13 июля грузчик «Шереметьево Хэндлинг» Николай Андрияшин залез в багаж к двум пассажирам рейса Москва — Бишкек и вытащил из сумок у одного 10 миллионов рублей, а у второго — ещё 11.   Вора быстро накрыли правоохранители и возбудили уголовное дело о краже. Как оказалось, купюры он просто заложил себе под футболку, «потолстев» на пару килограммов."
n,❗️Карты «Мир» начали принимать в Южной Корее – заявление платежной системы
n,Путин наградил Соловьёва орденом «» IV степени  Также указом президента  награждён званием «Народный артист России»
n,"Песков: у него будет новая работа, Кремль об этом своевременно сообщит.  Отставка Рогозина с поста главы Роскосмоса  добавил пресс-секретарь."
n,Уже приготовились отмечать?
n,❗️Краснодарский суд приговорил экс-директора «Открытой России» Андрея Пивоварова 
n,В Москве в возрасте 74 лет скончался известный футбольный тренер Георгий Ярцев
n,На сайте Роскосмоса удалили раздел с треками Рогозина  Такого музыканта потеряли.
n,В центре Москвы рабочие установили палатку сине-жёлтого цвета и на всякий случай написали «
n,"Шаверма-патруль канул в небытие, где же теперь брать актуальную информацию для любителей сего деликатеса?  Ребята из 2ГИС решили, что так больше продолжаться не может и запилили Взяли данные Росстата о средней зарплате жителей регионов и рассчитали индекс для каждого миллионника в России, иными словами — Кроме того, в приложении всегда можно найти удобный список всех , а также сортировать его по отзывам."
n,"Супермодель выложила в Инстаграм фото оливье с подписью «Russianzz on Wednaday». Некоторые зарубежные пользователи усмотрели в этом «поддержку спецоперации» и обрушились с критикой, а также припомнили, как Шейк фотографировалась с книгой о Путине. Сейчас на её странице данной публикации уже нет."
n,"На улице Блюхера был вывешен баннер, на котором изображены трое солдат с надписью: «Оркестр ""W"" ждёт тебя»."
n,Служба безопасности Украины совестно с другими украинскими силовыми ведомствами обнародовали список из ста попавших под запрет «пророссийских» Telegram-каналов.
n,"Сотрудники ГИБДД во время проверки документов в селе Юмагузино заподозрили, что водитель «восьмёрки» нетрезв. От медосвидетельствования он отказался, а во время составления протокола достал из багажника канистру с бензином и облил полицейского, после чего поджёг. С сильными ожогами инспектора госпитализировали.  Нарушителя задержали, СК возбудил уголовное дело по статье «Посягательство на жизнь сотрудника правоохранительного органа». Мужчине грозит до 20 лет лишения свободы."
n,Нехило Делимобиль обновился тачками
n,"❗️Неизвестные ворвались в дом на Рабоче-Крестьянской, в которой проживали пострадавшие. По предварительным данным, семью из 5 человек расстреляли из охотничьего ружья. Убийцей мог быть знакомый семьи. Как сообщают, семья была неблагополучной, возможно убийства были сделаны на почве ревности друга.   Среди погибших:  — 37-летний Владимир Беляев; — 26-летняя Светлана Ханговна; — 24-летняя Ольга Ханговна; —  мальчик;   девочку с огнестрельным ранением шеи сейчас пытаются спасти врачи."
n,"По словам Ильхама Алиева, представители Минобороны России обещали обеспечить вывод армянских военных из Карабаха до июня, но эта договоренность до сих пор не выполнена.  Как он сообщил, этот вопрос поднимался перед российским военным руководством несколько месяцев назад, и должностные лица Минобороны РФ обещали, что армянские военные до июня выйдут из Карабаха."
n,"Британец Эйден Эслин, приговоренный к смертной казни в ДНР, исполняет гимн России"
n," в которой большинство женщин прибыло из Украины, сообщает голландская газета NRC. По данным полиции, более 100 женщин проживали в здании в Осло на момент рейда, где занимались сексом за деньги. Украинка и её муж-норвежец подозреваются в управлении сетью проституток в Норвегии."
n,"Гроздь винограда сорта «рубиновый романтический» продана за 1,5 миллиона йен. По текущему курсу это примерно 12 тысяч долларов.  Покупателем стал владелец небольшого супермаркета из Тайваня."
n," в здании обладминистрации в Волгограде вывесили Сообщается, что барельеф отреставрировали по инициативе местных властей."
n,"❗️В сети сообщают, что в Днепре слышны взрывы. Предположительно, был нанесён удар по Южмашу, сообщают СМИ."
n,"Инцидент произошёл в Екатеринбурге во дворе дома на Мичурина, 210. Мужчина, по сообщениям соседей, «приехал пару дней назад с работы», после чего ночью вышел с 8-го этажа. Когда к нему подбежали люди, он был в сознании и находился в шоковом состоянии.  После того как это случилось, пострадавший сам вышел из кустов, прошёл через дорогу, где на травку его уложили двое прохожих. В итоге мужчину всё-таки госпитализировали, о его состоянии не сообщается."
n,"Сумма взысканий может доходить до 150 тысяч рублей. Штрафы коснутся владельцев крокодилов, кобр, крупных кошек и других зверей, которые попали в ограничительный список правительства, сообщил зампред комитета ГД по экологии Владимир Бурматов.  "
n,"❗️После переговоров с принцем Мохаммедом бин Салманом Байден заявил, что считает наследного принца Саудовской Аравии  и не жалеет о своих угрозах "
n,Видео взрыва сегодня в центре Краматорска
n,"АН-2 разбился на Кубани в результате столкновения с ЛЭП, сообщили в ГУ МЧС.  Погибли два человека."
n,"61-летний депутат округа №2 Александр Лядимов отвечал на вопросы граждан, но в какой-то момент в чате была поднята тема спила деревьев в парке на Заводской (ранее депутат обещал всё сделать на бюджетные деньги). Слуга народа сообщил, что жительница не должна лезть в его работу:  "
n,Днепр после прилётов сегодня
n,"46-летного местного жителя подстрелили, когда он ненадолго вышел из машины, после чего он вернулся за руль и на высокой скорости уехал с места происшествия.  Позже неуправляемый автомобиль уже с мёртвым водителем врезался в группу копавших могилу у дороги. В полиции пока не разглашают подробности дела."
n,Температура в Москве в начале следующей недели на уровне мая и сентября — центр погоды «Фобос»
n,"  В феврале 2021 года трое россиян во время катания на снегоходах по льду водоема, вблизи деревне Раменье Череповецкого района Вологодской области, загнали и задушили самку лося, как были уверены следователи.  Все действо снимала на камеру супруга одного из браконьеров и выложила видео в соцсетях,  за незабываемые выходные.  Живодеры оправдывались тем, что помогали беременной лосихе освободиться от веревки, намотавшейся на ногу. Их объяснениям вряд ли кто поверил, да и после было обнаружено кровавое место с разделом туши. Уголовное дело взял под личный контроль губернатор Тверской области Игорь Руденя, назвавший произошедшее настоящей дикостью, и живодеров арестовали. Позже из СИЗО их отпустили, а вчера и вовсе оправдали за «недоказанностью события преступления»."
n,"В основном это проценты от вкладов, акций и ценных бумаг, сообщает ТАСС со ссылкой на исследование.  — 31% респондентов получают прибыль от сдачи в аренду недвижимости; — 12% имеют регулярные вознаграждения за использование патентов на изобретение; — 9% опрошенных пассивный доход приносят инвестиции в бизнес. Столько же сдают в аренду технику и оборудование."
n,"❗️Шойгу дал указания  для «исключения нанесения Киевом массированных ударов по гражданской инфраструктуре, жителям Донбасса и других регионов» – российские СМИ"
n,"Для улучшения эрекции мужчинам нужно есть свеклу, считает диетолог и терапевт Ольга Лушникова. Полезные свойства этого овоща для улучшения мужского здоровья заключаются в том, что там содержатся особые растительные пигменты беталаины. Они усиливают естественные процессы детоксикации организма.  , — заявила специалист.  Если это вещество в организме мужчины не присутствует в достаточном количестве, то, по её словам, эрекция либо не достигается совсем, либо становится «слишком слабой для полноценных интимных отношений»."
n,"Землетрясение магнитудой 6,0 произошло ночью в Эквадоре, в провинции Гуаяс. О пострадавших не сообщается, но, судя по камерам, трясло сильно."
n,"Любителей полежать на пляже голыми будут наказывать в соответствии со статьёй 20.1 административного кодекса РФ: это штраф в размере от 500 до 1000 рублей или арест на срок до 15 суток.  Прямого запрета на нудизм в законодательстве нет, но от эксгбиционистов на центральных пляжах уже изрядно устали отдыхающие, сообщают местные СМИ. По словам властей, то, как «туристы ходят в своих трусиках», заставляет местных жителей испытывать «дискомфорт и беспокойство», и бросает тень на «репутацию курорта».  Никаких тяночек топлес."
n,"Ничего необычного, просто совместное фото трансгендерного адмирала США Рейчел Левин и заместителя помощника министра ядерной энергетики Сэма Бринтона в посольстве Франции.  Мнения?"
n," По предварительным данным, как минимум один ракетный удар был за микрорайоном Шуменский."
n,"На Камчатке пропал вертолёт «Робинсон», на борту, предварительно, три человека, сообщили авиаслужбы."
n,"21-летний житель Измаила Одесской области ударил 52-летнюю мать, когда она спала, ножом в сердце. А после вызвал «скорую» и сказал, чтобы приезжали поскорее, потому что женщина плохо себя чувствует. Медики, приехав на место, очень удивились причине «плохого самочувствия» украинки и вызвали полицейских, которые задержали парня.  В ходе расследования дела правоохранители установили, что именно сын причастен к преступлению. Молодой человек объяснил: его достали упрёки матери из-за того, что у него нет работы.  Сейчас врачи борются за жизнь женщины. Молодому человеку грозит срок от 7 до 15 лет."
n,"Москвичка сообщила в МВД, что ее безработный сын уклоняется от службы в армии  Спасибо, мамаша"
n,"31-летний водитель Lada Granta пошёл на обгон грузовика и подбросил в воздух группу мотоциклистов на «Harley-Davidson», «Suzuki» и «Yamaha». В тяжелейшем состоянии двое из них были госпитализированы."
n,"В Сочи местный бородач избил парня за длинные волосы  Молодой учитель игры на гитаре прибыл на курорт в Лазаревский отдохнуть и отправился прогуляться с девушкой. Мимо проходящему мужчине не понравился внешний вид гитариста.  Завязалась драка, в итоге юноша с длинными волосами попал в больницу с закрытой черепно-мозговой травмой и сотрясением.  Добро пожаловать на курорты Краснодарского края."
n,"в период с 10 по 14 июля, сообщили в Институте здоровья Карлоса III. В стране температура воздуха поднималась выше +45°C, большинство жертв аномальной погоды — люди старшего возраста. Пиковым днём стало 14 июля: в этот день скончались 93 жителя королевства."
n,", утверждает главный внештатный психиатр-нарколог Минздрава Евгений Брюн.  А употреблять этот алкогольный напиток в жару вообще нельзя, так как пиво не освежает и не помогает восстановить водный баланс в организме: алкоголь, наоборот, нарушает терморегуляцию и увеличивает риск теплового удара. Утолять жажду лучше всего минеральной негазированной водой, напоминает нарколог."
n,"Питер, Греческий сквер и негатив к YouTube."
n,"Бывший министр иностранных дел Литвы Линас Линкявичюс в своём Twitter заявил, что не видит смысла во введении 7-го пакета санкций против России, "
n,В Москве обвиняемая в домашнем насилии женщина вернулась из полиции домой и убила мужа  Не таких поворотов стрелочки мы ждали
n,❗️Узбекистан с 18 июля возобновляет  — Минтранс республики
n,34-летний Магомед Ибрагимов госпитализирован с огнестрельным ранением головы.   Полицейские оперативно задержали двух нападавших. Ими оказались граждане Ингушетии - 29-летний Адам Магомедов и 44-летний Хамзат Мальсагов. На данный момент оба задержаны.   Всё ещё не 90-е.
n,❗️Минобороны Украины отменило ограничение права военнообязанных покидать место регистрации без уведомления военкомата.
n,"Об этом заявил представитель ГУР МО Украины Вадим Скибицкий. По его словам, полуостров стал военным хабом РФ, а значит, может стать целью РСЗО.   Сейчас HIMARS не добивают до Крыма, но, если Украине предоставят ракеты высокой дальнобойности, это станет возможным."
n,"В честь дня открытых дверей в городе Шуя силовики организовали показательные выступления и мероприятия. Среди них присутствовали полевая каша, выставка полицейского оборудования, шансон и экскурсия по автозаку. Многие посетители жаловались на наличие больших очередей."
n,"Максим Орешкин заявил, что российские власти работают над тем, чтобы отказаться от международной системы передачи финансовых сообщений.   «», — сообщил Орешкин"
n,"По предварительной информации, инцидент на участке «Узловая-3 – Жданка» произошел из-за действий третьих лиц при попытке украсть металл. Личность погибшего устанавливается, ситуация находится на контроле регионального ведомства."
n,❗️В Россию с зарубежных выставок вернулись все экспонаты музейного фонда РФ
n,Сегодня в Москве можно было наблюдать двойную радугу.
n,"Несмотря на камуфляж,  всё же заметили. Москва."
n,"Неизвестные напали на рэпера OFFMi после его сольного концерта в Москве, выстрелив в него из сигнального пистолета и скрывшись на мотоцикле. Музыканта госпитализировали в одну из столичных клиник.  Отмечается, что произошедшее может быть постановкой и фейком."
n,"Суетливый водитель пытался заехать под кирпич на односторонней дороге, но его не пропустили. За это он пообещал набить морду и назвал мужчину, снимающего кадры на видеорегистратор, ""нацистом"" — 0:58  Срочно денацифицировать за соблюдение ПДД."
n,"Пилот подал сигнал бедствия и сообщил диспетчеру о поломке двигателя, после чего произошло падение самолёта и мощный взрыв. Судя по кадрам, Ан-12 загорелся ещё в воздухе.   Количество погибших и пострадавших уточняется, экипаж состоял из восьми человек."
n,"Советник главы офиса Зеленского Арестович вслед за минобороны Украины заявил, что Киев может атаковать Крымский мост, "
n,"В Дагестане гости чуть не убили жениха: подбрасывая его высоко в воздух, но в итоге уронили вниз головой.  Приехавшие врачи хотели госпитализировать мужчину, но тот отказался и продолжил праздновать свою свадьбу."
n,"Кадры с места крушения украинского Ан-12, по предварительным данным, он перевозил боеприпасы"
n,"❗️Спасатели обнаружили пропавший на Камчатке вертолёт Robinson. Сгоревший вертолёт был в 13 километрах от вулкана Узон. Три человека, находившиеся на борту, в то числе биатлонист Игорь Малиновский, погибли."
n,"Украинский Ан-12, упавший в Греции, вез  сообщает сербское Минобороны"
n,Сегодня отмечается день рождения  — 17 июля 1902 года Уиллис Карриер спроектировал первую современную систему кондиционирования воздуха
n,"Весной 2023 года ЦБ протестирует цифровой рубль, а ты снова всё пропустишь.   В августе Госдума рассмотрит законопроект о регулировании майнинга; Российский аналог SWIFT готов к тестированию в банках. Подпишись на самый быстрый и понятный источник новостей о криптовалютах и блокчейне, держи руку на пульсе — "
n,"В селе Колбинка Томской области семь человек погибли ночью при пожаре в частном доме, среди погибших — пятеро детей. Возбуждено уголовное дело по статье «Причинение смерти по неосторожности двум и более лицам»."
n,"  Водитель автомобиля KIA Seltos не подчинился требованию сотрудников ГИБДД об остановке и стал уходить от преследования, когда сбил велосипедистов. 11-летний подросток погиб на месте, второй мальчик 9 лет в тяжёлом состоянии доставлен в больницу.  Водителя задержали, оказалось, что он был пьян. В его отношении возбуждено уголовное дело по п. «а, б» ч. 4 ст. 264 УК РФ (нарушение правил дорожного движения, повлекшее по неосторожности смерть человека, лицом, находящимся в состоянии опьянения, сопряженное с оставлением места его совершения)."
n,"❗️Правительство утвердило создание новой  (ОЭЗ) в Перми, где инвесторы смогут реализовывать проекты на льготных условиях, сообщается на сайте правительства России"
n,"«Попытка атаковать украинскими националистами Крымский мост обернется . За свою провокацию киевский режим получит такой ответ, что уже не сможет оправиться», - сказал в интервью депутат."
n,"❗️В ЛДПР заявили, что будут требовать ввести запрет на электронные сигареты из-за пагубного влияния на здоровье и уже внесли соответствующий законопроект в Госдуму"
n,"❗️В Брянской области сообщили об очередном обстреле села Зерново, по словам губернатора, было выпущено 29 снарядов. Пострадавших нет."
n,"Прежде, чем запретить электронные сигареты, необходимо возродить пионерию — лидер КПРФ Геннадий Зюганов"
n," «», — сообщил Майк Уингстон"
n,"В Брюгге легкомоторный самолёт совершил жёсткую посадку на дорогу. Пилота спас баллистический парашют, он получил незначительные травмы и смог самостоятельно выбраться из кабины."
n,"❗️Медведев об угрозах Украины нападения на Крым: если что-то подобное произойдет, для них всех "
n,"В Одессе мужик проявил смекалочку, чтобы избежать проблем с комендантским часом и повестками.   Максимальная незаметность."
n,"   Хозяйка жилья сняла косолапых правонарушителей на видео. Оказалось, животные сорвали решётку с окна, проникли внутрь и стали поедать пончики, которые лежали на столе. Испугавшись человека, мишки поспешили покинуть дом тем же путём, каким и пришли."
n,"Showcase Cinemas пообещала бесплатные билеты на любой сеанс 18 и 19 июля для всех рыжеволосых людей. Таким образом компания решила помочь местным жителям в период аномальной жары.  Рыжие люди со светлой кожей, наиболее подверженные солнечным ударам, смогут провести несколько часов в помещении с кондиционером."
n,"Ливни с грозами и крупным градом не прекращались целый день. Некоторые улицы затопило полностью, частично парализовав движение. Спасатели помогают людям выбраться из общественного транспорта."
n,"Американские потребители подали иск против компании Mars в суд штата Калифорния. Истцы утверждают, что в конфетах Skittles превышен уровень диоксида титана (E 171). Эта добавка используется в красках, клеях, пластмассах и может вызвать повреждение ДНК, мозга и органов, а также поражения печени и почек.  В 2021 году европейский регулятор заявил, что пищевая добавка Е 171 больше не может считаться безопасной на территории ЕС. Тем не менее она все еще применяется в США."
n,"Рабочие разделывают одно животное, пока второе дожидается в клетке. Как сообщают, действие происходит, предположительно, на стройке столичного бизнес-центра Botanica Plaza."
n, заявил глава финского МИД Пекка Хаависто:   
n,На въезде в Запорожскую область поменяли указатели
n,"Ранее женщина провела акцию у набережной Кремля, где она вышла с антивоенными плакатом и обвинила российские власти в гибели украинских детей."
n,"   Предприниматель хочет компенсацию в один миллион долларов и требует передать её в благотворительный фонд, который был создан после продажи клуба «Челси». Абрамович считает, что санкции нарушают его права как гражданина Португалии, которые Евросоюз должен был защищать."
n,"В Тбилиси умер мужчина, поджегший себя 2 июля в знак протеста против существования в стране ЛГБТ. Активиста, получившего 70 процентов ожогов тела, врачам спасти не удалось."
